TaiKhoan	TenNhanVat	TaiLocNhan	DiemTanNienNhan	ThoiGianNhan	IP		
minhtrong90	GauMapDiz	0	35000	2025-03-03 09:19:22	117.6.99.97:28620
satthan1	Skulll	32000	40000	2025-03-04 16:46:56	117.5.153.146:20375
minhtrong1	CaHeoMap	50000	5000	2025-03-06 10:55:29	117.6.99.97:25318
minhtrong3	CaveChua	50000	5000	2025-03-06 10:55:41	117.6.99.97:41957
minhtrong90	GauMapDiz	0	35000	2025-03-06 10:57:28	117.6.99.97:38374
keomutdo2	LiễuNhưYên	50000	5000	2025-03-06 21:01:37	176.6.131.1:38182
keomutdo3	TrầnHàLinh	50000	5000	2025-03-06 21:02:04	176.6.131.1:34342
keomutdo4	NốtChuSa	50000	5000	2025-03-06 21:02:15	176.6.131.1:55078
keomutdo	TeeLàTrà	0	25000	2025-03-06 21:03:56	176.6.131.1:17703
sieuvirus	xXxMOZAxXx	50000	0	2025-03-07 08:16:57	117.6.99.97:16377
keomutdo5	CôGiáoThảo	50000	0	2025-03-09 13:11:18	176.6.145.53:46027
keomutdo	TeeLàTrà	0	40000	2025-03-09 13:12:23	176.6.145.53:14795
lingnga	ShenNana	32000	20000	2025-03-10 10:27:27	113.164.159.39:44531
tuyenphan123	tuyenbesclean	32000	40000	2025-03-10 20:04:36	183.80.67.234:59284
kiemthest2	AdminGame	200	900	2025-03-12 21:35:38	116.109.163.200:35821
dzai.1995	TonySama	200	900	2025-03-12 21:37:38	58.187.74.85:55582
minhtrong4	SaleOff30K	48000	6000	2025-03-13 19:30:10	117.6.99.97:33754
minhtrong90	GauMapDiz	0	36000	2025-03-13 19:30:39	117.6.99.97:28887
keomutdo	TeeLàTrà	0	36000	2025-03-13 21:08:42	176.6.144.202:21306
keomutdo5	CôGiáoThảo	48000	0	2025-03-13 21:15:12	176.6.144.202:28986
congaconvn	Kingdoms	48000	36000	2025-03-14 11:55:10	14.232.55.42:44739
kiemthest2	AdminGame	8400	36000	2025-03-15 22:18:23	116.109.163.200:6362
ductoanlk1	Viper99	8400	36000	2025-03-15 22:26:59	118.69.116.132:33388
zxc2512	o0oPhàmo0o	35000	24000	2025-03-16 22:17:16	123.27.134.138:15558
zxc2512	o0oPhàmo0o	20000	6000	2025-03-17 20:40:49	123.27.134.138:10691
ductoanlk1	Viper99	48000	50000	2025-03-17 21:06:59	118.69.116.132:3670
zxc2512	o0oPhàmo0o	0	1000	2025-03-19 21:16:54	123.27.134.138:37826
ductoanlk2	Viper97	48000	0	2025-03-20 11:39:14	113.23.114.210:62838
ductoanlk1	Viper99	0	36000	2025-03-20 11:40:57	113.23.114.210:48498
keomutdo	TeeLàTrà	0	50000	2025-03-24 21:34:06	176.6.143.154:58164
keomutdo	TeeLàTrà	48000	0	2025-03-24 21:36:54	176.6.143.154:58164
keomutdo1	Verdamm	48000	0	2025-03-24 21:37:00	176.6.143.154:41268
eaesed	Forever	32000	20000	2025-04-02 09:50:41	171.227.203.164:21192
keomutdo	TeeLàTrà	0	20000	2025-04-07 20:52:39	176.6.144.112:62320
minhtrong90	GauMapDiz	14000	60000	2025-04-08 08:46:48	1.55.59.147:49616
dangquanxxx	niceType	100	450	2025-04-09 17:43:46	115.76.50.121:50129
keomutdo6	AccBVD	42000	0	2025-04-15 14:15:07	176.7.210.9:30558
keomutdo	TeeLàTrà	0	180000	2025-04-15 14:17:59	176.7.210.9:27486
minhtrong90	GauMapDiz	28000	120000	2025-04-16 15:14:12	1.55.59.147:6634
dieptumi	MiuuMiuu	0	1000	2025-04-25 10:19:39	14.177.160.174:44490
dieptumi11	MewwMeww	50000	20000	2025-04-26 15:45:13	118.71.152.0:14344
dieptumi12	PewwPeww	50000	20000	2025-04-26 16:33:42	118.71.152.0:45126
dazanel	HelloLaXinChao	12500	5000	2025-04-26 17:14:24	14.191.94.145:48708
